iso3c,year,gdp_const_2015_usd
GTM,2000,37033785218.7019
GIN,2000,5176459579.46449
GNB,2000,705153195.39567
GUY,2000,2875468427.07822
HTI,2000,11150259169.2375
HND,2000,11770779974.6587
HKG,2000,179510029573.087
HUN,2000,91691821698.8094
ISL,2000,12224638522.2591
IND,2000,800534479623.61
IDN,2000,395012382597.556
IRN,2000,258056537598.384
IRQ,2000,101916218527.399
IRL,2000,162098435201.65
IMN,2000,3501118028.55419
ISR,2000,184981435200.171
ITA,2000,1856863206512.55
JAM,2000,13553906825.7897
JPN,2000,3986755544463.82
JOR,2000,18380669691.8022
KAZ,2000,66179326672.5077
KEN,2000,36630908098.8264
KIR,2000,137844779.277017
PRK,2000,..
KOR,2000,835011437852.054
XKX,2000,..
KWT,2000,61264446634.5746
KGZ,2000,3518703233.18908
LAO,2000,4981659930.07599
LVA,2000,15001703493.7099
LBN,2000,25798443405.5655
LSO,2000,1453365294.1512
LBR,2000,2210291803.5902
LBY,2000,57579668503.4421
LIE,2000,..
LTU,2000,22342117970.7075
LUX,2000,40369840252.809
MAC,2000,13681294587.0131
MDG,2000,7688842733.27739
MWI,2000,4736773940.3021
MYS,2000,148271359064.948
MDV,2000,1984591804.63877
MLI,2000,7889185607.31589
MLT,2000,6701061697.46334
MHL,2000,154176500
MRT,2000,3409611141.00167
MUS,2000,6817633870.93239
MEX,2000,945027051117.631
FSM,2000,305255189.683569
MDA,2000,3939281163.91139
MCO,2000,3909415913.17981
MNG,2000,3817248910.66296
MNE,2000,2656559076.11381
MAR,2000,56160912155.7573
MOZ,2000,5210292403.59676
MMR,2000,13523413252.2448
NAM,2000,5607973667.33031
NRU,2000,61821096.4003501
NPL,2000,13432367221.0195
NLD,2000,647616371669.345
NCL,2000,..
NZL,2000,119024733715.31
NIC,2000,7324881903.35865
NER,2000,4522117708.50312
NGA,2000,179675448843.374
MKD,2000,6653275727.54115
MNP,2000,..
NOR,2000,304696827580.115
OMN,2000,45372727044.5609
PAK,2000,162552194688.572
PLW,2000,236780563.408324
PAN,2000,20639538974.0522
PNG,2000,11016425270.6953
PRY,2000,20783433276.2582
PER,2000,87409379264.7108
PHL,2000,142796015521.852
POL,2000,283174187558.032
PRT,2000,193677420299.115
PRI,2000,99578589112.8593
QAT,2000,33690588603.2193
ROU,2000,102548919722.127
RUS,2000,780432873752.842
RWA,2000,2738155708.93407
WSM,2000,535129944.383763
SMR,2000,1495569701.92883
STP,2000,138248376.950013
SAU,2000,359919640768.117
SEN,2000,10450471990.9721
SRB,2000,26625555756.526
SYC,2000,949537227.205275
SLE,2000,3217030909.61881
SGP,2000,140533304238.721
SXM,2000,..
SVK,2000,48483456226.779
SVN,2000,32113425072.0193
SLB,2000,769815582.866258
SOM,2000,2059706442.19268
ZAF,2000,221691970228.101
SSD,2000,..
ESP,2000,977964704474.031
LKA,2000,37755216046.2078
KNA,2000,635237944.035906
LCA,2000,1459098899.46569
MAF,2000,..
VCT,2000,575442357.828232
SDN,2000,37610270337.133
SUR,2000,2921018934.53474
SWE,2000,368740595935.982
CHE,2000,529837998914.444
SYR,2000,20770487869.9399
TJK,2000,2699528109.30372
TZA,2000,18486481203.1543
THA,2000,221454615181.944
TLS,2000,832683766.647435
TGO,2000,3492826929.75804
TON,2000,397019692.616479
TTO,2000,13228122077.6646
TUN,2000,27972115617.4879
TUR,2000,413901474163.049
TKM,2000,10334005228.0022
TCA,2000,..
TUV,2000,29171722.9332692
UGA,2000,12220817656.1968
UKR,2000,69836368849.3183
ARE,2000,198921610821.864
GBR,2000,2314307169243.88
USA,2000,13650948362520
URY,2000,36242902749.5716
UZB,2000,31472652298.5356
VUT,2000,529362000.235808
VEN,2000,91730367409.6068
VNM,2000,93525828108.839
VIR,2000,..
PSE,2000,7118400000
YEM,2000,41498634363.6833
ZMB,2000,8059030210.46366
ZWE,2000,19947126180.8466
AFE,2000,489817237961.848
AFW,2000,326672771738.384
ARB,2000,1406974817817.34
CSS,2000,41583406437.6042
CEB,2000,808029643139.989
EAR,2000,5417544791319.72
EAS,2000,10366526973201.2
EAP,2000,3878843756271.9
TEA,2000,3874274384053.77
EMU,2000,10051632608869.2
ECS,2000,15990314229316.8
ECA,2000,706021315258.475
TEC,2000,1942265249935.22
EUU,2000,11319869909643.6
FCS,2000,804431242026.564
HPC,2000,327354231483.984
HIC,2000,37869377916277.4
IBD,2000,10953389165622.8
IBT,2000,11971859016260.3
IDB,2000,510314089184.692
IDX,2000,509184189446.945
IDA,2000,1019618557048
LTE,2000,7083079645648.96
LCN,2000,3507688633929.34
LAC,2000,3046842281848.95
TLA,2000,3335015282172.57
LDC,2000,430041751015.121
LMY,2000,10443292205749
LIC,2000,220165478205.179
LMC,2000,2183346998486.51
MEA,2000,1981800733261.7
MNA,2000,1074822729338.12
TMN,2000,1067705953916.68
MIC,2000,10228553065706.2
NAC,2000,14820887932751.5
INX,2000,..
OED,2000,36778557769118.4
OSS,2000,81714916900.7714
PSS,2000,6487074944.08412
PST,2000,34950617994124
PRE,2000,607100044618.95
SST,2000,129770784215.703
SAS,2000,937951354420.202
TSA,2000,937951354420.202
SSF,2000,815874035642.389
SSA,2000,798293869507.807
UMC,2000,8045233909359.79
WLD,2000,48425685628052.2
TSS,2000,815874035642.389
Short definition,2000,Long definition
"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. This indicator is expressed in constant prices, meaning the series has been adjusted to account for price changes over time. The reference year for this adjustment is 2015. This indicator is expressed in United States dollars.",2000,"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. This indicator is expressed in constant prices, meaning the series has been adjusted to account for price changes over time. The reference year for this adjustment is 2015. This indicator is expressed in United States dollars."
AFG,2001,5621147630.73068
ALB,2001,6698469429.12028
DZA,2001,113105897561.895
ASM,2001,..
AND,2001,2422703047.4382
AGO,2001,36662544314.034
ATG,2001,1141296594.96992
ARG,2001,378202665751.853
ARM,2001,4339529550.80371
ABW,2001,2652438618.61234
AUS,2001,892700520464.398
AUT,2001,313084486481.847
AZE,2001,13309965318.2008
BHS,2001,10775999425.4187
BHR,2001,16603189276.6705
BGD,2001,87732050538.1162
BRB,2001,5507062853.82862
BLR,2001,27333629960.0077
BEL,2001,371841895842.954
BLZ,2001,1431902589.03825
BEN,2001,6551040876.0552
BMU,2001,7226679645.63174
BTN,2001,806919209.637853
BOL,2001,17626660726.9117
BIH,2001,10938351172.2094
BWA,2001,8513264763.90086
BRA,2001,1202908958645.15
VGB,2001,..
BRN,2001,12423538115.8353
BGR,2001,31537611343.1357
BFA,2001,5445629583.60137
BDI,2001,1744266681.79557
CPV,2001,944160982.565559
KHM,2001,8010713670.8994
CMR,2001,17910981185.5697
CAN,2001,1185010810251.65
CYM,2001,..
CAF,2001,1750672710.15363
TCD,2001,5043061274.95238
CHI,2001,..
CHL,2001,135383217071.739
CHN,2001,3059936242478.58
COL,2001,159651401476.819
COM,2001,650371555.795489
COD,2001,16788480352.6195
COG,2001,6728876234.42485
CRI,2001,31487207663.2952
CIV,2001,29751121585.5543
HRV,2001,40914256867.7491
CUB,2001,47138598430.4616
CUW,2001,2861109488.70189
CYP,2001,16149016881.4093
CZE,2001,132391536300.246
DNK,2001,265566018286.991
DJI,2001,..
DMA,2001,471027183.520201
DOM,2001,36267520113.1855
ECU,2001,52275588700.0666
EGY,2001,186035425185.202
SLV,2001,17776447691.3707
GNQ,2001,4411173089.81689
ERI,2001,2065307884.56551
EST,2001,14801394595.5546
SWZ,2001,2400612484.65221
ETH,2001,18069758569.7896
FRO,2001,..
FJI,2001,3397362184.16937
FIN,2001,201212380923.485
FRA,2001,2064338989612.96
PYF,2001,5388829856.98392
GAB,2001,9896262806.17442
GMB,2001,1015919410.0795
GEO,2001,6671206249.59299
DEU,2001,2933181986968.52
GHA,2001,20877487493.6
GIB,2001,..
GRC,2001,203582678904.899
GRL,2001,1799289052.24665
GRD,2001,702943169.422603
GUM,2001,..
GTM,2001,37897625984.6745
GIN,2001,5365832405.72436
GNB,2001,738901627.416716
GUY,2001,2941015352.67748
HTI,2001,11112041891.9578
HND,2001,12091321063.1334
HKG,2001,180516832466.043
HUN,2001,95416367494.0372
ISL,2001,12694179473.815
IND,2001,839151992864.812
IDN,2001,409404526219.842
IRN,2001,264229695672.548
IRQ,2001,103716679377.555
IRL,2001,170699088560.512
IMN,2001,3690178368.17942
ISR,2001,185495549157.594
ITA,2001,1894119928193.34
JAM,2001,13736197326.0583
JPN,2001,4002148544212.9
JOR,2001,19349323186.586
KAZ,2001,75113535772.261
KEN,2001,38015522174.3133
KIR,2001,133510761.351974
PRK,2001,..
KOR,2001,874473540684.493
XKX,2001,..
KWT,2001,61395143657.0582
KGZ,2001,3705955297.86785
LAO,2001,5268175760.92381
LVA,2001,15970900289.3453
LBN,2001,26789018310.9609
LSO,2001,1505128088.4482
LBR,2001,2274838397.37873
LBY,2001,56564631725.4858
LIE,2001,..
LTU,2001,23790809196.6404
LUX,2001,41610952660.8086
MAC,2001,14076443224.3656
MDG,2001,8148653656.69862
MWI,2001,4501121160.06136
MYS,2001,149038923296.259
MDV,2001,1906326757.09611
MLI,2001,9136152788.48424
MLT,2001,6650321051.9369
MHL,2001,164861000
MRT,2001,3382351510.30114
MUS,2001,7045856941.40101
MEX,2001,940766441516.06
FSM,2001,310811267.030026
MDA,2001,4179577330.63921
MCO,2001,3994943522.21035
MNG,2001,3929961221.71521
MNE,2001,2685776941.17021
MAR,2001,60497559620.7789
MOZ,2001,5879902615.65954
MMR,2001,15057508855.3381
NAM,2001,5674032719.94258
NRU,2001,57641317.132617
NPL,2001,14077106359.8202
NLD,2001,662664228363.74
NCL,2001,..
NZL,2001,123084659196.388
NIC,2001,7541760192.38638
NER,2001,4850791323.99035
NGA,2001,190308075297.966
MKD,2001,6449202687.04079
MNP,2001,..
NOR,2001,310995308438.91
OMN,2001,47465846485.9487
PAK,2001,168487544527.033
PLW,2001,254174212.022669
PAN,2001,20835595580.2716
PNG,2001,11003063602.1014
PRY,2001,20610088070.7157
PER,2001,87949475111.0632
PHL,2001,147150196386.034
POL,2001,286667833930.23
PRT,2001,197441874347.86
PRI,2001,105865455033.218
QAT,2001,35003910634.6135
ROU,2001,107900062083.039
RUS,2001,820235350096.64
RWA,2001,2970476182.30558
WSM,2001,574676737.921687
SMR,2001,1578997708.27105
STP,2001,142484974.901201
SAU,2001,361159899361.903
SEN,2001,10900976316.0181
SRB,2001,28430375122.4264
SYC,2001,927971690.1167
SLE,2001,3012895640.5399
SGP,2001,139028385430.873
SXM,2001,..
SVK,2001,49901675269.4696
SVN,2001,33021812643.9619
SLB,2001,708564389.239921
SOM,2001,2206158044.12531
ZAF,2001,227677653424.683
SSD,2001,..
ESP,2001,1016292009754.12
LKA,2001,37171743866.5487
KNA,2001,668609850.727648
LCA,2001,1409371875.70461
MAF,2001,..
VCT,2001,585502419.631668
SDN,2001,40055073506.847
SUR,2001,3043701742.07788
SWE,2001,373758441664.22
CHE,2001,538186454855.434
SYR,2001,20988014510.4076
TJK,2001,2958165475.04676
TZA,2001,19608760036.0732
THA,2001,229082063572.247
TLS,2001,968808340.666063
TGO,2001,3521588220.24187
TON,2001,402945137.109236
TTO,2001,13779539518.821
TUN,2001,29034013115.9435
TUR,2001,391304902374.343
TKM,2001,10782898471.2171
TCA,2001,..
TUV,2001,29171722.9332692
UGA,2001,12854303430.1863
UKR,2001,75981969310.6229
ARE,2001,201704693314.365
GBR,2001,2369642769659.08
USA,2001,13781388409036.2
URY,2001,34849678466.8177
UZB,2001,32783122633.228
VUT,2001,511376489.610351
VEN,2001,94843912662.0328
VNM,2001,99317782863.096
VIR,2001,..
PSE,2001,6455600000
YEM,2001,43077095456.5446
ZMB,2001,8487518230.93072
ZWE,2001,20234268508.5287
AFE,2001,506978146950.777
AFW,2001,343818790760.609
ARB,2001,1436484812508.49
CSS,2001,42457972575.8385
CEB,2001,832314260013.409
EAR,2001,5482567055384.37
EAS,2001,10710019004740.7
EAP,2001,4149609185413.55
TEA,2001,4144713214708.58
EMU,2001,10271270687411.1
ECS,2001,16346737499081.9
ECA,2001,706504604825.691
TEC,2001,1993866084347.18
EUU,2001,11564508558513
FCS,2001,837105561500.106
HPC,2001,339365702324.238
HIC,2001,38470254397250.4
IBD,2001,11353094203325.6
IBT,2001,12412724358924.2
IDB,2001,530577968720.168
IDX,2001,530194097703.822
IDA,2001,1060883737496.43
LTE,2001,7451035589426.68
LCN,2001,3526334240011.68
LAC,2001,3051197241671.27
TLA,2001,3345495778855.99
LDC,2001,451113690433.398
LMY,2001,10825187656496.8
LIC,2001,229044421185.514
LMC,2001,2278061809641.1
MEA,2001,2020698620800.46
MNA,2001,1105306178806.57
TMN,2001,1098853318819.24
MIC,2001,10601859375534.5
NAC,2001,14973625898933.5
INX,2001,..
OED,2001,37295771205818.9
OSS,2001,84321041360.8989
PSS,2001,6545248440.88043
PST,2001,35481712173146.3
PRE,2001,633536862173.253
SST,2001,133302246944.172
SAS,2001,980846139596.03
TSA,2001,980846139596.03
SSF,2001,850252079213.816
SSA,2001,831300350971.553
UMC,2001,8323828316281.66
WLD,2001,49412868939567.6
TSS,2001,850252079213.816
Short definition,2001,Source
"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. This indicator is expressed in constant prices, meaning the series has been adjusted to account for price changes over time. The reference year for this adjustment is 2015. This indicator is expressed in United States dollars.",2001,"Country official statistics, National Statistical Organizations and/or Central Banks;
National Accounts data files, Organisation for Economic Co-operation and Development (OECD);
Staff estimates, World Bank (WB)"
AFG,2002,7228795918.92525
ALB,2002,7008501111.79519
DZA,2002,119213616030.237
ASM,2002,744923664.122138
AND,2002,2532847903.3358
AGO,2002,41672733511.8008
ATG,2002,1153020391.45654
ARG,2002,336999433710.193
ARM,2002,4912347451.42022
ABW,2002,2627374307.5502
AUS,2002,927960453450.18
AUT,2002,317731814841.85
AZE,2002,14566281800.0274
BHS,2002,11067485495.0867
BHR,2002,17159155482.6073
BGD,2002,91094928770.2862
BRB,2002,5550425578.6684
BLR,2002,28712684731.6691
BEL,2002,378188843981.109
BLZ,2002,1509212058.06817
BEN,2002,6855207726.28555
BMU,2002,7119884453.30351
BTN,2002,891192074.385711
BOL,2002,18064782966.6648
BIH,2002,11488270722.7089
BWA,2002,9029979997.34259
BRA,2002,1239639324869.85
VGB,2002,..
BRN,2002,12915688987.5154
BGR,2002,33389478145.9504
BFA,2002,5682675869.68484
BDI,2002,1821825838.40298
CPV,2002,993737848.225922
KHM,2002,8512590714.58905
CMR,2002,18712860619.4251
CAN,2002,1220552310378.31
CYM,2002,..
CAF,2002,1813986527.35151
TCD,2002,5471278189.1196
CHI,2002,..
CHL,2002,139719269577.32
CHN,2002,3342778183071.46
COL,2002,163649041384.447
COM,2002,680273575.86388
COD,2002,17283365331.3092
COG,2002,7037184600.05768
CRI,2002,32563086627.9419
CIV,2002,28938759334.2241
HRV,2002,43288645498.5317
CUB,2002,47810239203.2308
CUW,2002,2872469959.29505
CYP,2002,16750240728.3241
CZE,2002,134395228572.192
DNK,2002,266778406880.15
DJI,2002,..
DMA,2002,456484593.584498
DOM,2002,37894663734.2472
ECU,2002,54851779632.3615
EGY,2002,190482051407.276
SLV,2002,18056056716.4359
GNQ,2002,5269712387.32535
ERI,2002,2127379250.62751
EST,2002,15827575405.1485
SWZ,2002,2498765077.55051
ETH,2002,18343465847.9802
FRO,2002,..
FJI,2002,3506077743.95308
FIN,2002,204607490634.566
FRA,2002,2086380974762.6
PYF,2002,5434429137.37377
GAB,2002,9871617829.34082
GMB,2002,982902027.731066
GEO,2002,7036389739.95908
DEU,2002,2926486831428.63
GHA,2002,21816974338.743
GIB,2002,..
GRC,2002,213116735217.242
GRL,2002,1781814765.21794
GRD,2002,727105600.384471
GUM,2002,4800664422.202
GTM,2002,39352624644.841
GIN,2002,5642956694.13195
GNB,2002,765900620.254642
GUY,2002,2974326085.51831
HTI,2002,11228920585.9316
HND,2002,12545270107.7257
HKG,2002,183507428690.366
HUN,2002,99929623991.0794
ISL,2002,12763018324.3319
IND,2002,871073127580.09
IDN,2002,427825582126.161
IRN,2002,285576361692.342
IRQ,2002,95208069160.7452
IRL,2002,180769250950.138
IMN,2002,3918969360.39539
ISR,2002,185246850387.665
ITA,2002,1899232719747.26
JAM,2002,14010549151.015
JPN,2002,4003827945767.2
JOR,2002,20468450874.8326
KAZ,2002,82474662277.6485
KEN,2002,38223413680.2696
KIR,2002,135442868.932774
PRK,2002,..
KOR,2002,942192762521.074
XKX,2002,..
KWT,2002,63245767128.4116
KGZ,2002,3705313255.4532
LAO,2002,5579985581.01999
LVA,2002,17195147700.3185
LBN,2002,27706046545.3127
LSO,2002,1516022748.40945
LBR,2002,2360440967.03039
LBY,2002,56022234980.534
LIE,2002,..
LTU,2002,25389513378.757
LUX,2002,42953079744.2546
MAC,2002,15329923614.3899
MDG,2002,7137571065.48697
MWI,2002,4577640221.16799
MYS,2002,157073594223.932
MDV,2002,2044885954.92519
MLI,2002,9413551548.87703
MLT,2002,6832615339.53483
MHL,2002,170855000
MRT,2002,3429078153.90208
MUS,2002,7159641799.80767
MEX,2002,938540700989.319
FSM,2002,312188883.232805
MDA,2002,4505584348.12398
MCO,2002,4035951520.51955
MNG,2002,4115965440.05725
MNE,2002,2736912434.92843
MAR,2002,62754238001.606
MOZ,2002,6448401314.435
MMR,2002,16868251605.5673
NAM,2002,5945742924.34569
NRU,2002,51893680.3161027
NPL,2002,14094019042.6825
NLD,2002,664292962005.237
NCL,2002,..
NZL,2002,128886227124.252
NIC,2002,7598620454.41747
NER,2002,5089376067.96136
NGA,2002,219480696548.007
MKD,2002,6545532200.7983
MNP,2002,1607115151.51515
NOR,2002,315279446147.563
OMN,2002,47093635557.5669
PAK,2002,172859487443.654
PLW,2002,266158469.41552
PAN,2002,21358328188.2411
PNG,2002,10985579675.3822
PRY,2002,20605676606.0555
PER,2002,92745825187.2292
PHL,2002,152618672919.07
POL,2002,292117946677.278
PRT,2002,198964002685.767
PRI,2002,106835668972.022
QAT,2002,37517944590.3984
ROU,2002,114053593614.452
RUS,2002,858786345187.109
RWA,2002,3362343587.30108
WSM,2002,607157232.67461
SMR,2002,1583905238.05588
STP,2002,147272738.169326
SAU,2002,358673710260.03
SEN,2002,10908464913.3606
SRB,2002,30290019038.036
SYC,2002,939226436.101185
SLE,2002,3812040149.67774
SGP,2002,144482970559.889
SXM,2002,..
SVK,2002,52105958758.2435
SVN,2002,34105781287.8601
SLB,2002,688724707.61448
SOM,2002,2374493799.80391
ZAF,2002,236102579035.79
SSD,2002,..
ESP,2002,1044295490089.67
LKA,2002,38645482957.365
KNA,2002,677754528.432512
LCA,2002,1415241211.82979
MAF,2002,..
VCT,2002,616780702.911886
SDN,2002,42460970095.8851
SUR,2002,3128925411.81216
SWE,2002,382271644878.765
CHE,2002,537792409495.674
SYR,2002,21818055209.1143
TJK,2002,3277647457.55418
TZA,2002,20999647619.2893
THA,2002,243168402250.2
TLS,2002,903891451.637433
TGO,2002,3656346110.13786
TON,2002,420792478.214925
TTO,2002,14873181566.6564
TUN,2002,29418004531.8437
TUR,2002,416487363949.901
TKM,2002,10810629921.4189
TCA,2002,..
TUV,2002,31949982.2602472
UGA,2002,13976829355.9471
UKR,2002,80039138412.8861
ARE,2002,206613089911.721
GBR,2002,2410140612988.09
USA,2002,14015733659783.6
URY,2002,32155098813.2195
UZB,2002,34085756140.1454
VUT,2002,484793509.619977
VEN,2002,86444870221.0213
VNM,2002,105595482130.707
VIR,2002,4688209978.65528
PSE,2002,5649400000
YEM,2002,44772278888.5091
ZMB,2002,8869967014.46174
ZWE,2002,18434630065.6726
AFE,2002,526837055747.211
AFW,2002,378005749070.855
ARB,2002,1454020678602.03
CSS,2002,44149943224.4098
CEB,2002,861798493029.812
EAR,2002,5577667913421.7
EAS,2002,11186135765067.3
EAP,2002,4488016467165.66
TEA,2002,4482702029764.71
EMU,2002,10368515674185
ECS,2002,16602201918423.5
ECA,2002,751702563259.751
TEC,2002,2093410377851.17
EUU,2002,11691451596944.9
FCS,2002,864079514756.333
HPC,2002,352642147233.271
HIC,2002,39100740462982
IBD,2002,11865563191388.3
IBT,2002,12983004665427.8
IDB,2002,564514589806.795
IDX,2002,554106310793.806
IDA,2002,1118908930651.29
LTE,2002,7901975176184.56
LCN,2002,3533889214212.5
LAC,2002,3061447259522.55
TLA,2002,3351106381897.8
LDC,2002,475571943228.706
LMY,2002,11344993463388.7
LIC,2002,241130252733.497
LMC,2002,2381242812499.98
MEA,2002,2062854743334.16
MNA,2002,1140574844728.22
TMN,2002,1134929523943.76
MIC,2002,11109973863679.8
NAC,2002,15243405854615.2
INX,2002,..
OED,2002,37868472182515
OSS,2002,87267102922.7321
PSS,2002,6675848574.92709
PST,2002,36023071812672.2
PRE,2002,671588572039.749
SST,2002,138071386167.887
SAS,2002,1017843636379.73
TSA,2002,1017843636379.73
SSF,2002,904613494976.733
SSA,2002,885395265724.08
UMC,2002,8728762520086.82
WLD,2002,50554835407744.3
TSS,2002,904613494976.732
Short definition,2002,Topic
"Gross domestic product is the total income earned through the production of goods and services in an economic territory during an accounting period. It can be measured in three different ways: using either the expenditure approach, the income approach, or the production approach. This indicator is expressed in constant prices, meaning the series has been adjusted to account for price changes over time. The reference year for this adjustment is 2015. This indicator is expressed in United States dollars.",2002,Economic Policy & Debt: National accounts: US$ at constant 2015 prices: Aggregate indicators
AFG,2003,7867263256.28817
ALB,2003,7382282996.75923
DZA,2003,126962501072.943
ASM,2003,752116030.534351
AND,2003,2753058859.8714
AGO,2003,43125991915.3832
ATG,2003,1223085251.30795
ARG,2003,366780211148.674
ARM,2003,5600076094.6952
ABW,2003,2656551420.08012
AUS,2003,956646310281.468
AUT,2003,321358930178.288
AZE,2003,16053251457.6915
BHS,2003,10927491025.4318
BHR,2003,18239571633.5594
BGD,2003,95412434316.9993
BRB,2003,5671174021.12643
BLR,2003,30734974379.4373
BEL,2003,382114274683.528
BLZ,2003,1655080826.31517
BEN,2003,7091272067.48876
BMU,2003,7362722827.73814
BTN,2003,960585283.615957
BOL,2003,18554580623.7089
BIH,2003,11932537720.474
BWA,2003,9447697367.92895
BRA,2003,1253781489768.13
VGB,2003,..
BRN,2003,13378513545.1324
BGR,2003,35138136419.3122
BFA,2003,6126066307.13183
BDI,2003,1799531646.23167
CPV,2003,1035238917.7863
KHM,2003,9387998414.66106
CMR,2003,19733301668.5758
CAN,2003,1242600185731.73
CYM,2003,..
CAF,2003,1716076872.67107
TCD,2003,6276741545.47066
CHI,2003,..
CHL,2003,146318553366.968
CHN,2003,3681006926650.74
COL,2003,170061255792.911
COM,2003,693432979.229646
COD,2003,18247400738.9274
COG,2003,7094415494.39314
CRI,2003,33968893647.7095
CIV,2003,27571152176.3563
HRV,2003,45699118672.157
CUB,2003,49623557376.225
CUW,2003,2880748035.15219
CYP,2003,17189649730.2275
CZE,2003,138831395778.178
DNK,2003,267955142440.516
DJI,2003,..
DMA,2003,482983317.391998
DOM,2003,37383329266.8199
ECU,2003,56433979416.1321
EGY,2003,196565009501.834
SLV,2003,18338704970.0344
GNQ,2003,6005113941.93001
ERI,2003,2070886355.8446
EST,2003,17029885802.1805
SWZ,2003,2612175410.09597
ETH,2003,17946997565.4188
FRO,2003,..
FJI,2003,3541138498.41929
FIN,2003,208723783982.573
FRA,2003,2106573536968.08
PYF,2003,5550015578.46015
GAB,2003,10093465659.4406
GMB,2003,1050427393.31825
GEO,2003,7814405534.92863
DEU,2003,2910982263391.97
GHA,2003,22951457033.3962
GIB,2003,..
GRC,2003,225470734593.334
GRL,2003,1860749973.98387
GRD,2003,795918681.218461
GUM,2003,4842877343.03913
GTM,2003,40360200458.0268
GIN,2003,5713414722.47307
GNB,2003,763710672.551679
GUY,2003,2955521640.87583
HTI,2003,11619774577.796
HND,2003,13115708313.2068
HKG,2003,189116020461.734
HUN,2003,103865629649.023
ISL,2003,13054189959.3992
IND,2003,939542798342.002
IDN,2003,448277224148.753
IRN,2003,310248155730.812
IRQ,2003,60307856288.9303
IRL,2003,186217344582.055
IMN,2003,4154107509.79688
ISR,2003,187931184126.957
ITA,2003,1900496731461.62
JAM,2003,14524220379.0531
JPN,2003,4065291729517.45
JOR,2003,21320279753.9925
KAZ,2003,90144805869.7482
KEN,2003,39344305939.1787
KIR,2003,133309011.374931
PRK,2003,..
KOR,2003,971162614185.718
XKX,2003,..
KWT,2003,74203741654.2937
KGZ,2003,3965807641.19042
LAO,2003,5918523434.75225
LVA,2003,18644549495.6873
LBN,2003,28600147893.7267
LSO,2003,1585150007.49012
LBR,2003,1648882904.55436
LBY,2003,63314109952.651
LIE,2003,..
LTU,2003,28068588415.9846
LUX,2003,44078183528.9345
MAC,2003,17114841063.7583
MDG,2003,7835974694.57165
MWI,2003,4838823865.43116
MYS,2003,166165798103.902
MDV,2003,2326058788.83095
MLI,2003,10335808731.4911
MLT,2003,7084965036.70896
MHL,2003,168186800
MRT,2003,3666653932.36533
MUS,2003,7583882471.8971
MEX,2003,949667522095.5
FSM,2003,317692041.756323
MDA,2003,4802952913.19777
MCO,2003,4079843968.34329
MNG,2003,4404273778.31917
MNE,2003,2804860644.07795
MAR,2003,66626866131.8459
MOZ,2003,6913827631.93056
MMR,2003,19203491833.3034
