Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Australia,AUS,874926744105.928,892700520464.398,927960453450.18,956646310281.468,997006658239.536,1028467016034.95,1056965077770.63,1097018464974.4,1136774249983.46,1158996461663.32,1184610839239.74,1212979128949.21,1260921781880.75,1294392358274.42,1328061960035.21,1356805839935.9,1394194533274.64,1426167740135.16,1467158231105.1,1499347932643.95,1497345824797.34
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Austria,AUT,309014800203.266,313084486481.847,317731814841.85,321358930178.288,329602607297.434,337250591306.488,348276446349.075,361424664731.668,366677269701.416,353527252121.64,359922497999.326,370459113959.145,372786509411.403,371851835129.742,374662287024.534,379546097300.633,387581921834.297,396388751744.592,406235924915.185,413365268699.049,387247796560.501
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Azerbaijan,AZE,12110978466.342,13309965318.2008,14566281800.0274,16053251457.6915,17538787529.6067,22442902288.4162,30178120036.5547,37862439845.1581,41872616483.1256,45795872374.3607,47988959988.6111,47234094919.1645,48274633178.2711,51095520771.413,52524961505.7785,53076235354.746,51450192645.6866,51529227685.0867,52302373078.674,53599371924.6281,51348755387.0791
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Bahamas, The",BHS,10500261525.9051,10775999425.4187,11067485495.0867,10927491025.4318,11023912337.1748,11398293682.8703,11685142254.5787,11854121086.481,11578673030.5899,11095213868.3034,11265931761.9405,11335011158.6301,11847358068.6233,11508144415.7879,11720696405.6022,11837600000,11700697195.6515,12095174365.8385,12385211217.3941,12281350586.0076,9814105056.96843
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bahrain,BHR,16199663949.4689,16603189276.6705,17159155482.6073,18239571633.5594,19512869154.2447,20833694755.6476,22181009695.3903,24020694053.4652,25520789027.3601,26168987898.7969,27303230073.1892,27829679463.9972,28888050241.9569,30416985616.3829,31727610007.9685,32523297872.3404,33764059498.7261,35436675410.8102,36164044588.1584,36906448210.9064,34724774104.3146
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bangladesh,BGD,83492876905.7611,87732050538.1162,91094928770.2862,95412434316.9993,100411600213.555,106974447115.636,114111680586.242,122166366935.51,129513195397.247,136047297736.462,143627564998.204,152912195327.661,162884301114.117,172679520662.469,183145728910.398,195146608978.131,209028320490.615,222803809377.443,239111739541.452,257958323968.613,266852772253.895
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Barbados,BRB,5640486570.73121,5507062853.82862,5550425578.6684,5671174021.12643,5751228217.57511,5978715588.63129,6341656281.60634,6473510975.63435,6514518116.50992,6187666802.7612,6050442244.32578,6031666500.58892,5825750942.63272,5722566701.83324,5765635622.77349,5698150000,5783423169.47156,5824392171.7044,5750071519.41267,5763165130.17653,4935303060.93692
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belarus,BLR,26100310412.7168,27333629960.0077,28712684731.6691,30734974379.4373,34254050021.1784,37473931242.4089,41221322391.8597,44766358837.3896,49332527208.7462,49431189910.8575,53262115569.3291,56218149516.8364,57178272607.7523,57749323051.4988,58702836389.8022,56454769844.7632,55028470318.3987,56421892161.1976,58198729025.2815,59040547731.7471,58643356627.7874
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belgium,BEL,367797580320.048,371841895842.954,378188843981.109,382114274683.528,395760365336.901,404948883847.345,415284559725.448,430554259966.472,432478429044.827,424233482718.834,435731531598.616,444146182962.729,445104666468.521,446464436962.24,454346946885.841,461044767544.531,466547349432.055,473426439010.72,482317238282.145,494099718080.569,470417598101.755
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Belize,BLZ,1363800371.11261,1431902589.03825,1509212058.06817,1655080826.31517,1734204696.97331,1772690003.49565,1852664108.23636,1914531924.99014,1883373343.61685,1874960133.39346,1901536024.42607,1899062675.16468,1973959679.21923,2054230070.85013,2134186060.0205,2193095150,2192684131.16429,2152487028.0072,2170181947.82235,2262557632.66642,1956594233.22066
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Benin,BEN,6219354272.65514,6551040876.0552,6855207726.28555,7091272067.48876,7405393050.93385,7532259620.47862,7829312267.7691,8298002249.61043,8704320326.21926,8906198943.30981,9094481753.64081,9364019722.08608,9814543622.24071,10520350021.8969,11189200116.267,11388160996.7738,11768488383.3269,12435945492.7429,13268812302.6618,14179807374.6843,14725558723.2985
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bermuda,BMU,6739895068.97791,7226679645.63174,7119884453.30351,7362722827.73814,7533631299.4758,7659759815.30576,8084406664.52899,8354841362.08309,8198943712.90485,7737613934.72433,7543950875.42882,7261600082.73073,6876350478.40565,6857116738.50431,6603330213.03728,6654541000,6610806937.02849,6849550930.14215,6819905984.64909,6840850356.57848,6373786302.28159
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bhutan,BTN,751822818.964787,806919209.637853,891192074.385711,960585283.615957,1010125138.87137,1080178039.16497,1141108777.66963,1324881877.57243,1384891723.57233,1491078191.02509,1668991759.59852,1810676784.15218,1904194983.13207,1937258289.82484,2051190106.33281,2187815803.36833,2373253832.39027,2422779966.72395,2507622616.54362,2651940022.25787,2380954251.4208
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bolivia,BOL,17334777888.1262,17626660726.9117,18064782966.6648,18554580623.7089,19328918118.4656,20183533307.223,21151739180.8767,22117185836.643,23477060537.7352,24265185360.0464,25266542246.0612,26581436461.7176,27943010890.6533,29842021104.1397,31471565408.6312,33000198248.9146,34407300587.1524,35850757840.6068,36878987707.3734,37434651169.5829,32673162315.3388
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bosnia and Herzegovina,BIH,10679552177.5993,10938351172.2094,11488270722.7089,11932537720.474,12687302704.3598,13181750134.5787,13895410481.7996,14709558824.8469,15510030554.8428,15044038582.7515,15174269895.7758,15319868792.2914,15193964403.4513,15551001102.6808,15730436007.5757,16404348361.0926,16936219694.6475,17485647420.4505,18155173558.4672,18679105074.1119,18115912618.3228
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Botswana,BWA,8491986059.02571,8513264763.90086,9029979997.34259,9447697367.92895,9703335214.03812,10145481816.2871,10994036837.1472,11630872553.1126,12009117014.1882,10310519328.3503,11353915357.5123,12130342700.3127,12109617148.6354,13454136663.42,14220638232.789,13530748844.505,14505561464.3559,15102375175.8986,15734967212.8207,16212015762.4196,14796887965.3696
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Brazil,BRA,1186418964121.03,1202908958645.15,1239639324869.85,1253781489768.13,1325998860202.27,1368459094848.72,1422677289673.84,1509031960316.93,1585904997750.07,1583909738906.86,1703150040806.99,1770840429106.43,1804861390164.77,1859094274383.73,1868463286696.58,1802211999456.42,1743173031878.48,1766232928473.27,1797736638146.82,1819683008336.22,1760056385298.89
GDP (constant 2015 US$),NY.GDP.MKTP.KD,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Brunei Darussalam,BRN,12244033143.1515,12423538115.8353,12915688987.5154,13378513545.1324,13392499225.471,13391973527.4748,13940831854.3091,13416151463.6479,12892826165.4277,12647829762.7913,12994552864.5932,13481121714.8966,13604222581.2368,13315162382.5279,12981233119.3701,12930296870.1247,12609894752.9469,12777445780.0952,12784137461.5724,13278735842.9555,13429260053.625
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Bulgaria,BGR,30376118589.1044,31537611343.1357,33389478145.9504,35138136419.3122,37425778712.9317,40066672175.5903,42792243384.3764,45639805260.6518,48437323784.9572,46816058020.3321,47544216166.3084,48537973523.4502,48901433349.8318,48636020141.1525,49097794392.256,50765918159.1476,52302413861.9149,53738599840.5621,54990790971.5665,57076766353.313,55288418257.0389
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Burkina Faso,BFA,5107828181.20084,5445629583.60137,5682675869.68484,6126066307.13183,6400419254.55947,6954815456.4763,7389711520.7284,7693530569.65392,8139754707.2893,8380850241.73524,9088720451.70527,9690626654.34607,10315931043.8746,10913490102.1529,11385699970.03,11832159315.6298,12537116611.6541,13314855313.1302,14194244128.6065,15030172259.3791,15332394848.5201
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Burundi,BDI,1709130260.41104,1744266681.79557,1821825838.40298,1799531646.23167,1886514847.43907,1903493481.08303,2006544947.16489,2075660260.38688,2177549065.459,2260014499.81439,2375133693.99181,2470719237.95292,2579999920.33893,2707037177.57679,2821948416.12645,2810532912.49975,2900474875.87058,3011616941.94606,3172504889.35261,3313977733.08389,3324133212.69452
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cabo Verde,CPV,923550525.289887,944160982.565559,993737848.225922,1035238917.7863,1140802982.16763,1219660508.68448,1317035160.01005,1516838454.63714,1623608884.79583,1599196517.15668,1628564468.24228,1692481034.54407,1710821579.61286,1721636311.15762,1733630380.4449,1749857620.35329,1824764034.95256,1907814790.72833,1978536809.33193,2116002110.92756,1675762033.71886
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cambodia,KHM,7459479704.67578,8010713670.8994,8512590714.58905,9387998414.66106,10275886653.5849,11642922159.7044,12917049054.0975,14260222987.8994,15326369460.3469,15950885068.8658,16760698493.0409,17981993293.903,19357661918.8519,20878690156.7817,22549052336.9265,24174170369.0738,26085259688.3373,28191654621.9478,30665817313.8491,33099747942.811,31922812945.0881
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cameroon,CMR,17168567484.5749,17910981185.5697,18712860619.4251,19733301668.5758,21124275032.771,21594980960.2444,22417659743.2882,23387803922.5771,24053813243.6522,24674221649.2686,25389533434.6495,26247499413.6974,27461703151.6573,28833560540.7901,30482787768.4783,32210233020.4569,33671222913.4548,34863580363.1151,36242614248.5756,37502066832.7403,37599547048.5841
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Canada,CAN,1163199675162.51,1185010810251.65,1220552310378.31,1242600185731.73,1281025904587.38,1322152656986.39,1357030300367.79,1384848127424.16,1398632992945.77,1357861635362.94,1399830508940.89,1443745913580.69,1469093201732.39,1503261570451.97,1546457292263.22,1556508816217.14,1572673952924.25,1620386284360.03,1664832887873.71,1696605090551.84,1611126165625.03
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cayman Islands,CYM,..,..,..,..,..,..,4633485696.50699,4780025489.19621,4762941612.47161,4419986821.73072,4299956032.00849,4350225213.89143,4403722268.68141,4460060434.88737,4578454046.88869,4708167255.28727,4860710632.08443,5015477958.0794,5229501727.25244,5434269999.23381,5165012391.41422
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Central African Republic,CAF,1675850364.88825,1750672710.15363,1813986527.35151,1716076872.67107,1818953694.45096,1835473623.16461,1923045637.77901,2011650635.80801,2052972574.3655,2229266675.80904,2332499967.93604,2430339369.3364,2553162918.71416,1624016454.05115,1625333052.55944,1695825714.19282,1776382808.69192,1856804600.57752,1927167163.54408,1986909345.61394,2004791529.66202
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Chad,TCD,4516519365.60565,5043061274.95238,5471278189.1196,6276741545.47066,8387570299.89304,9841348751.69791,9787927000.51755,10199036983.3526,10513288725.5159,10365231906.8954,11782555814.4129,12312232324.3094,13427942676.0538,13809056592.5367,14093914057.3116,14559599499.5011,13959379525.7795,13733590857.5857,14522052213.2592,15303748438.8629,15243505756.0454
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,10650550531.1342,10266424333.8754,10381926033.3796,9784585181.16353,9832914292.38795,10071569130.6786,10109273770.329,10231901695.1297,10416739087.3022,10533640271.4811,10699371928.6621,9747472425.32923
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Chile,CHL,131243743563.397,135383217071.739,139719269577.32,146318553366.968,156084225513.955,165194933117.629,175189211415.667,184243394522.927,191225100461.158,189087132632.604,200151851762.225,212609096429.355,225695909224.96,233163076995.037,237342873662.271,242450355830.884,246700604515.86,250050047209.619,260027117802.785,261676645417.276,245600606668.884
GDP (constant 2015 US$),NY.GDP.MKTP.KD,China,CHN,2825096197799.54,3059936242478.58,3342778183071.46,3681006926650.74,4053944733453.66,4518455387849.41,5091154930758.42,5811552614974.09,6373544042638.01,6972829250985.1,7711689202853.29,8441318020902.42,9104482675356.36,9812695262900.89,10544908798424,11280814787468.9,12045152668727.3,12875216222853.4,13745158275136.7,14579283528148.4,14920466234565.3
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Colombia,COL,157016818928.93,159651401476.819,163649041384.447,170061255792.911,179130660092.783,187780451739.376,200393418124.055,213896316785.023,220919487240.849,223437193184.792,233479933032.173,249701866578.277,259471791121.288,272793056063.57,285066097496.814,293492370193.166,299618678572.191,303691577641.583,311479214511.795,321405606655.842,298309675728.093
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Comoros,COM,616936089.242142,650371555.795489,680273575.86388,693432979.229646,714932259.250788,755434618.774047,742180920.320468,748145084.624578,777806128.357449,803011729.191202,833348554.386726,867878891.68189,895376387.011074,935365362.167356,955070416.212074,966029600.862227,998105646.566284,1036190384.81036,1073934613.01512,1092843397.42943,1090706042.10569
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Congo, Dem. Rep.",COD,17148631280.919,16788480352.6195,17283365331.3092,18247400738.9274,19476978833.8136,20671920925.7908,21728037858.2133,23581424221.9288,25326856010.815,25470074710.6773,27467694662.4827,29553403849.2894,32115268325.5231,35206198726.088,37777053057.3322,40179574490.3032,40337814832.805,42048626459.9632,44601688163.9569,44849398935.1374,45197173728.8833
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Congo, Rep.",COG,6482377234.59307,6728876234.42485,7037184600.05768,7094415494.39314,7341062186.80916,7910417276.44806,8542162055.68026,7977183901.13328,8480255108.6285,9467126891.81813,10407332392.13,10636909752.5259,11694979455.2472,11611660392.4682,12383378937.2556,12434793867.3568,11354801748.8219,10719526284.7166,10472514332.3273,10590275024.738,9926500702.40064
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Costa Rica,CRI,30425018574.4757,31487207663.2952,32563086627.9419,33968893647.7095,35471881178.9969,36882479548.0029,39584746492.4417,42836685662.1245,44866362740.5382,44474474828.8682,46858459461.2317,48921712048.582,51310359848.0341,52590433317.5191,54453244250.7631,56441920820.5194,58814921621.3159,61260269007.514,62862779082.5908,64382494195.8,61631202097.7205
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cote d'Ivoire,CIV,30406072178.2268,29751121585.5543,28938759334.2241,27571152176.3563,28449303912.4541,28732677632.1669,29541668752.6369,29867049486.2231,31295490700.8623,32423167866.6818,34643522418.9356,32783010325.3471,35281210700.9425,39077544167.6054,42739891584.4862,45815005169.2651,49101205368.91,52739979047.0655,55294253263.7438,59010785540.9857,59423700880.6615
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Croatia,HRV,39679727338.7054,40914256867.7491,43288645498.5317,45699118672.157,47604993515.2593,49664897966.6282,52182450238.361,54817286358.3919,55898760192.6292,52090762145.947,51394805225.024,51337804931.0411,50189155633.3966,50122079966.6919,49842552678.5614,50998893384.8289,52766750207.3137,54499590874.6275,56086115348.75,57825641269.2151,53019830857.522
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cuba,CUB,45683563278.5995,47138598430.4616,47810239203.2308,49623557376.225,52487103646.4154,58366528662.6983,65408954114.9466,70159041951.1157,73047369063.91,74107509498.1477,75878940053.321,78005296225.1446,80357078126.4622,82564971264.2729,83429902609.353,87132800000,87579654548.8907,89164663941.1994,91169039692.7712,91020354637.1475,81054139247.4509
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Curacao,CUW,2881155232.956,2861109488.70189,2872469959.29505,2880748035.15219,2886753273.41984,2906280004.21469,2953824846.98841,3026783234.53941,3093010555.65515,3076577135.63657,3079109361.94443,3094765326.65816,3083966131.99718,3064361462.6739,3044829273.42015,3058779211.89831,3026120390.73989,2987500760.4188,2924640415.44914,2830872591.42199,2308902987.9911
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Cyprus,CYP,15534986805.8031,16149016881.4093,16750240728.3241,17189649730.2275,18053648327.3531,18929789645.9549,19822098963.1388,20832674395.6686,21592439785.3329,21157334409.9038,21640286747.1052,21730464390.338,20981332378.0944,19599191826.1408,19251098679.0346,19909278416.8575,21218032913.0554,22438246417.1514,23845497750.3008,25246562822.6821,24433464399.3925
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Czechia,CZE,128638858401.092,132391536300.246,134395228572.192,138831395778.178,145406922288.089,154676655549.654,164921158024.599,173973393346.007,178518044754.249,169952170270.619,174565802522.079,177659773382.538,176290606021.546,176216894659.909,180173337874.854,189107698561.919,193988322685.058,204024435232.921,209798950825.42,217279912681.73,205753475017.539
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Denmark,DNK,263066798869.213,265566018286.991,266778406880.15,267955142440.516,275394519880.793,281892753289.031,292651155542.909,295540131122.49,294307201413.926,279666951317.258,284093791186.593,287817703286.122,287802068160.374,291810211099.295,295539545106.694,301758922337.637,311032111297.516,320538736986.013,326500781502.599,332088518944.146,326176991232.295
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,2107658964.77279,2259262606.11241,2424391785.43897,2597091693.86547,2738843335.30256,2869605010.3792,3028726927.17701,3065135713.11422
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Dominica,DMA,471328095.603734,471027183.520201,456484593.584498,482983317.391998,502775184.653807,507377017.907434,529705537.84296,558086829.799671,597829935.171901,591040072.975893,590415870.485502,590668207.662469,589738544.378908,589765106.18701,603537403.687762,583177777.777778,591617792.302106,546983994.013143,563196657.633243,585432211.240413,493481872.044211
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Dominican Republic,DOM,35393522990.4108,36267520113.1855,37894663734.2472,37383329266.8199,38349900170.1598,41966981958.5524,45815860539.7981,49214666985.2049,50823044977.7376,51333030311.777,55645592832.7047,57421779163.4885,59015618840.2876,61927882062.5429,66331713896.7879,70966782572.4386,75735566406.0476,78714898894.6559,84301701754.6018,88427452425.8944,81415993438.0734
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Ecuador,ECU,50165491738.8835,52275588700.0666,54851779632.3615,56433979416.1321,60289773139.5514,63544590361.2542,66303144898.6572,67564514887.9228,72000071699.6601,72785601820.191,75718234074.2169,82140258351.3877,86890603905.3287,93156490881.1886,97093344927.4784,97209558000,96540800718.3398,102304671535.156,103373033702.498,103544017315.435,93971273313.9152
GDP (constant 2015 US$),NY.GDP.MKTP.KD,"Egypt, Arab Rep.",EGY,179683172290.026,186035425185.202,190482051407.276,196565009501.834,204608590453.316,213758163785.626,228387426641.133,244575133305.99,262077623377.432,274326082658.196,288446290408.139,293536132736.607,300070833532.511,306628779736.183,315569804751.572,329366576819.407,343682967575.512,358053111989.023,377141312302.669,398080548973.052,412213064649.087
GDP (constant 2015 US$),NY.GDP.MKTP.KD,El Salvador,SLV,17621447036.1716,17776447691.3707,18056056716.4359,18338704970.0344,18501810234.6557,18997812331.293,19821747186.6752,20187974224.9399,20622904543.8145,20188015254.5251,20622904543.8145,21401127375.9033,22019127752.9422,22499794814.169,22888906230.2134,23438240000,24033351541.724,24573529736.8617,25166352435.5773,25779775126.5993,23744951345.511
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Equatorial Guinea,GNQ,2699948863.55525,4411173089.81689,5269712387.32535,6005113941.93001,8286980786.09409,9674942387.18021,10420388726.5973,12012844402.6491,14151023687.8999,14341122354.4363,13061295371.1388,13913404306.2274,15070007775.4052,14447134439.884,14507099626.4903,13185496881.0174,12023008461.8485,11341603434.7324,10634279338.5817,10051326714.9325,9569759527.14748
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Eritrea,ERI,1899038769.45137,2065307884.56551,2127379250.62751,2070886355.8446,2100950149.6029,2155038051.30131,2134151053.76576,2164601595.02151,1952837971.21425,2028539764.99879,2073049788.74561,2252986366.41081,..,..,..,..,..,..,..,..,..
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Estonia,EST,13979307068.9028,14801394595.5546,15827575405.1485,17029885802.1805,18188037434.5502,19920094036.3597,21864807422.0901,23520174236.2883,22314692031.2014,19050002927.2983,19516680413.329,21001309333.0129,21772481344.2301,22154913628.3244,22891074856.6938,23311847750.9394,24032887679.5037,25387062190.0468,26326306710.8582,27307395871.0676,26519903136.8312
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Eswatini,SWZ,2367182799.34336,2400612484.65221,2498765077.55051,2612175410.09597,2706660911.50653,2868851690.22305,3061891254.30998,3194095189.73391,3240107842.57048,3286542195.57087,3412233861.45679,3475009965.0534,3617154618.7404,3765262097.18702,3842727914.01316,3908217914.21824,4023477834.54531,4165142616.56823,4167866438.89669,4435938143.62829,4304996589.59367
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Ethiopia,ETH,16684709707.888,18069758569.7896,18343465847.9802,17946997565.4188,20382872320.545,22791876293.8269,25261313883.9249,28155292189.364,31192831993.2611,33938597623.7578,38198074328.8086,42467968231.3241,46140518129.2398,51023232360.2629,56256936828.9833,62103418181.8182,67961933367.1549,74461941569.3207,79537377550.6924,86189951998.924,91412658764.8474
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Faroe Islands,FRO,..,..,..,..,..,..,..,..,2166314314.46368,2067675562.88792,2059822159.10004,2133282898.13186,2284350973.3955,2418125853.51823,2549481885.27429,2573905971.05459,2609591837.86672,2701241060.07126,2775895516.47884,2901879820.04399,2854366727.12733
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Fiji,FJI,3330747234.58964,3397362184.16937,3506077743.95308,3541138498.41929,3728818828.37532,3754920575.17992,3824479873.24135,3791946770.36279,3831109777.44242,3778009151.30614,3889636945.80504,3994857188.49831,4051237182.53114,4243031642.79505,4480790532.15798,4682479893.97558,4796997047.63002,5053797787.50532,5246466309.21901,5215934671.17568,4319652697.81901
GDP (constant 2015 US$),NY.GDP.MKTP.KD,Finland,FIN,196036503503.623,201212380923.485,204607490634.566,208723783982.573,217083963685.375,223113056548.362,232081249320.459,244411266035.096,246328504349.487,226434937568.653,233609048324.553,239193226293.28,235550695854.071,233242909052.234,232127848351.009,233210733506.25,239208760000.401,247110710501.527,250058685918.643,253433824168.6,247120696232.09
GDP (constant 2015 US$),NY.GDP.MKTP.KD,France,FRA,2025858476151.37,2064338989612.96,2086380974762.6,2106573536968.08,2166995343501.89,2207920477337.34,2267844862926.15,2325232266328.63,2334072135222.36,2268145064848.79,2313515332182.54,2369909039106.43,2374265767668.09,2392826743357.49,2416703156974.4,2442483452642.5,2463489569347.31,2514819204088.14,2556210832760.02,2608036638906.12,2413981867676.36
